00000000  7F45              jg 0x47
00000002  4C                dec sp
00000003  46                inc si
00000004  0201              add al,[bx+di]
00000006  0100              add [bx+si],ax
00000008  0000              add [bx+si],al
0000000A  0000              add [bx+si],al
0000000C  0000              add [bx+si],al
0000000E  0000              add [bx+si],al
00000010  0200              add al,[bx+si]
00000012  3E0001            add [ds:bx+di],al
00000015  0000              add [bx+si],al
00000017  0000              add [bx+si],al
00000019  104000            adc [bx+si+0x0],al
0000001C  0000              add [bx+si],al
0000001E  0000              add [bx+si],al
00000020  40                inc ax
00000021  0000              add [bx+si],al
00000023  0000              add [bx+si],al
00000025  0000              add [bx+si],al
00000027  0000              add [bx+si],al
00000029  1100              adc [bx+si],ax
0000002B  0000              add [bx+si],al
0000002D  0000              add [bx+si],al
0000002F  0000              add [bx+si],al
00000031  0000              add [bx+si],al
00000033  004000            add [bx+si+0x0],al
00000036  3800              cmp [bx+si],al
00000038  0300              add ax,[bx+si]
0000003A  0000              add [bx+si],al
0000003C  0300              add ax,[bx+si]
0000003E  0200              add al,[bx+si]
00000040  0100              add [bx+si],ax
00000042  0000              add [bx+si],al
00000044  0400              add al,0x0
00000046  0000              add [bx+si],al
00000048  0000              add [bx+si],al
0000004A  0000              add [bx+si],al
0000004C  0000              add [bx+si],al
0000004E  0000              add [bx+si],al
00000050  0000              add [bx+si],al
00000052  40                inc ax

00001000  B90F05            mov cx,0x50f
00001003  90                nop
00001004  C3                ret
00001005  668B1C            mov ebx,[si]
00001008  2448              and al,0x48
0000100A  C1E312            shl bx,byte 0x12
0000100D  8A3C              mov bh,[si]
0000100F  24C1              and al,0xc1
00001011  C3                ret
00001012  03B341FF          add si,[bp+di-0xbf]
00001016  E300              jcxz 0x1018
00001018  0000              add [bx+si],al
0000101A  0000              add [bx+si],al
0000101C  0000              add [bx+si],al
0000101E  0000              add [bx+si],al
00001020  0000              add [bx+si],al
00001022  0000              add [bx+si],al
00001024  0000              add [bx+si],al
00001026  0000              add [bx+si],al
00001028  0000              add [bx+si],al
0000102A  0000              add [bx+si],al
0000102C  0000              add [bx+si],al
0000102E  0000              add [bx+si],al
00001030  0000              add [bx+si],al
00001032  0000              add [bx+si],al
00001034  0000              add [bx+si],al
00001036  0000              add [bx+si],al
00001038  0000              add [bx+si],al
0000103A  0000              add [bx+si],al
0000103C  0000              add [bx+si],al
0000103E  0048BB            add [bx+si-0x45],cl
00001041  58                pop ax
00001042  58                pop ax
00001043  41                inc cx
00001044  5B                pop bx
00001045  58                pop ax
00001046  41                inc cx
00001047  5C                pop sp
00001048  B397              mov bl,0x97
0000104A  FFE3              jmp bx
0000104C  48                dec ax
0000104D  B831C0            mov ax,0xc031
00001050  31C9              xor cx,cx
00001052  EB02              jmp short 0x1056
00001054  49                dec cx
00001055  BE410F            mov si,0xf41
00001058  B614              mov dh,0x14
